"pid","cond","trial","base","tax","the","unr1","unr2","unr3","sel1","sel2","seltype1","seltype2","rt","tax_sel","the_sel","unr_sel"
4742,"sextet_rand",1,"SPOON","LADLE","CEREAL","LION","TREE","STEREO","SPOON","LADLE","BASE","TAXONOMIC",5.4475152919,1,0,0
4742,"sextet_rand",2,"CHISEL","KNIFE","SCULPTURE","HAMSTER","BOTTLE","MIRROR","KNIFE","CHISEL","TAXONOMIC","BASE",20.3342818342,1,0,0
4742,"sextet_rand",3,"BOTTLE","CAN","BABY","CLOCK","BERRY","BELL","BOTTLE","CAN","BASE","TAXONOMIC",19.364500774,1,0,0
4742,"sextet_rand",4,"FLY","ANT","WINGS","CEREAL","BUSINESS","CONCRETE","ANT","FLY","TAXONOMIC","BASE",8.55242842708,1,0,0
4742,"sextet_rand",5,"SHAMPOO","BLEACH","SHOWER","TEAM","SAUCE","CIRCLE","CIRCLE","TEAM","UNRELATED","UNRELATED",41.5371014476,0,0,1
4742,"sextet_rand",6,"CRIB","BED","BABY","FERRY","BOWL","PATIO","CRIB","BED","BASE","TAXONOMIC",5.85383949181,1,0,0
4742,"sextet_rand",7,"SUBMARINE","AIRPLANE","OCEAN","SHEET","CROW","DOCTOR","AIRPLANE","SUBMARINE","TAXONOMIC","BASE",13.8137233675,1,0,0
4742,"sextet_rand",8,"GARLIC","ONION","VAMPIRE","HOUSE","FOOT","CODE","ONION","GARLIC","TAXONOMIC","BASE",6.99013393559,1,0,0
4742,"sextet_rand",9,"SNOW","RAIN","SLED","CEMETARY","WORK","NOVEL","SNOW","RAIN","BASE","TAXONOMIC",10.8506572962,1,0,0
4742,"sextet_rand",10,"SAXOPHONE","HARP","JAZZ","SODA","HAIR","PILOT","SAXOPHONE","HARP","BASE","TAXONOMIC",12.7112925567,1,0,0
4742,"sextet_rand",11,"PANDA","RACOON","BAMBOO","WHIP","FENDER","LAW","RACOON","PANDA","TAXONOMIC","BASE",28.5121514052,1,0,0
4742,"sextet_rand",12,"CAPTAIN","PILOT","SHIP","EAR","BENCH","FREEZER","CAPTAIN","PILOT","BASE","TAXONOMIC",6.25418730856,1,0,0
